,id,address,categories,city,name,province,websites,lowerNames,cleanCategories,lowerCity
7250,AWlR555j3-Khe5l_5rOs,2430 East Baseline Road,"Ice Cream Parlors,Breakfast,Fast Food,Coffeehouses,Salads,Hamburgers,Restaurants,Sandwich Shops",Phoenix,McDonald's,AZ,https://www.mcdonalds.com/us/en-us/location/AZ/PHOENIX/24TH-ST--BASELINE/25250.html?cid=RF:YXT:RoN::Clicks,mcdonalds,"['break', 'hamburgers', 'coffeehouses', 'salads', 'ice cream parlors', 'sandwich']",phoenix
7251,AVweSZ7Y_7pvs4fzBrGg,800 Pima St,"Ice Cream Parlors,Breakfast,Fast Food Restaurants,Take Out Restaurants,Fast Food,Restaurants,Restaurant,Fast Food Restaurant,Coffeehouses,Salads,Hamburgers and Hot Dogs,Hamburgers,Sandwich Shops",Gila Bend,McDonald's,AZ,"https://www.mcdonalds.com/us/en-us/location/AZ/GILA-BEND/800-PIMA-ST/11680.html?cid=RF:YXT:RoN::Clicks,http://mcdonalds.com/,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral",mcdonalds,"['break', 'hamburgers', 'coffeehouses', 'salads', 'take out', 'hot dogs', 'ice cream parlors', 'sandwich']",gila bend
7252,AVwchyi-_7pvs4fzwE6-,3025 W Peoria Ave,"Restaurant,Burger Joint,Fast Food Restaurant,Burgers,Fast Food,Fast Food Restaurants,Salad,Restaurants",Phoenix,Wendy's,AZ,"https://locations.wendys.com/united-states/az/phoenix/3025-w-peoria-ave,http://wendys.com/,http://www.wendys.com/",wendys,"['burger joint', 'burgers', 'salad']",phoenix
7253,AVwdQ7Q5kufWRAb54E0E,5019 Torrance Blvd,"Ice Cream Parlors,Restaurant,Breakfast,Fast Food Restaurant,American Restaurant,Fast Food,Coffeehouses,Salads,Hamburgers,Restaurants,Sandwich Shops",Torrance,McDonald's,CA,"http://mcdonalds.com/,https://www.mcdonalds.com/us/en-us/location/CA/TORRANCE/5019-TORRANCE-BLVD/534.html?cid=RF:YXT:RoN::Clicks",mcdonalds,"['break', 'hamburgers', 'coffeehouses', 'salads', 'american', 'ice cream parlors', 'sandwich']",torrance
7254,AV1Tp2wRFcQ3k02bFTOW,6250 E Pacific Coast Hwy,"Delis And Delicatessens,Restaurant,Deli & Sandwich,wich Place,Fast Food,Soups,Restaurants,Sandwich Shops",Long Beach,Subway,CA,http://subway.com/,subway,"['delicatessens', 'delis', 'soups', 'sandwich', 'wich', 'deli']",long beach
7255,AVwcpNa0_7pvs4fzxZYU,3830 W Ina Rd,"Ice Cream Parlors,Breakfast,Fast Food Restaurants,Take Out Restaurants,Fast Food,Restaurants,Restaurant,Fast Food Restaurant,Coffeehouses,Salads,Hamburgers and Hot Dogs,Hamburgers,Sandwich Shops",Tucson,McDonald's,AZ,"http://mcdonalds.com/,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,https://www.mcdonalds.com/us/en-us/location/AZ/MARANA/3830-W-INA-RD/6044.html?cid=RF:YXT:RoN::Clicks",mcdonalds,"['break', 'hamburgers', 'coffeehouses', 'salads', 'take out', 'hot dogs', 'ice cream parlors', 'sandwich']",tucson
7256,AVwcgDIiIN2L1WUfloH6,4620 N Oracle Rd,"Burger Joint,American Restaurants,Restaurant,Fast Food Restaurant,American Restaurant,Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants",Tucson,In-N-Out Burger,AZ,http://www.in-n-out.com/,in n out burger,"['burger joint', 'hamburgers', 'american', 'hot dogs']",tucson
7257,AVwdUXlxByjofQCxn2CU,741 E Monte Vista Ave,"Delis And Delicatessens,Carry-out food,Delicatessens,wich Place,Take Out Restaurants,Fast Food Restaurants,Sandwiches,Sandwich Place,Restaurants,Sandwich Shops",Vacaville,Subway,CA,http://www.subway.com/,subway,"['take out', 'delicatessens', 'sandwiches', 'carry out', 'delis', 'sandwich', 'wich']",vacaville
7258,AV4ngV1ga4HuVbed_iCw,41135 N. Daisy Mountain Drive,"Restaurant,American,Burgers,Fast Food,Soda Fountain Shops,Chicken,Hamburgers,Restaurants",Phoenix,Sonic Drive-In,AZ,"https://locations.sonicdrivein.com/az/anthem/41135-n--daisy-mountain-drive.html,http://www.sonicdrivein.com/",sonic drive in,"['hamburgers', 'chicken', 'burgers', 'soda fountain', 'american']",phoenix
7259,AVwcvJg9ByjofQCxhnc_,3460 N Oracle Rd,"Hamburgers & Hot Dogs,American Restaurants,Restaurant,Hot Dog Stands and Restaurants,Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants",Tucson,Wienerschnitzel,AZ,http://www.wienerschnitzel.com/,wienerschnitzel,"['hamburgers', 'american', 'hot dogs', 'hot dog stands']",tucson
7260,AVwdfCSA_7pvs4fz6WdM,1252 Salmon River Hwy,"Pizza,Carry-out food,Seafood restaurants,Bar and grill restaurants,American restaurants,Take Out Restaurants,Fast Food Restaurants,Italian restaurants,Restaurants,Bars",Otis,Salmon River Pronto Pup,OR,"http://www.otispizzeria.com/,https://otispizzeria.com/",salmon river pronto pup,"['take out', 'italian', 'sea', 'carry out', 'grill', 'bar', 'american', 'pizza', 'bars']",otis
7261,AVwedpIrByjofQCxyb4d,1800 Airport Way,"Delis And Delicatessens,Restaurant,Carry-out food,Delicatessens,American restaurants,Take Out Restaurants,Fast Food Restaurants,Sandwiches,Sandwich Place,Restaurants,Sandwich Shops",Fairbanks,SUBWAY,AK,http://www.subway.com/,subway,"['take out', 'delicatessens', 'sandwiches', 'carry out', 'delis', 'american', 'sandwich']",fairbanks
7262,AV1ghbLta4HuVbed7BDm,611 E Lamar St Ste A,"Pizza,Restaurant,Food Delivery,Take Out Restaurants,Fast Food Restaurants,Pizza Place,Restaurants",Americus,Dominos Pizza,GA,"https://www.dominos.com/en/?redirect=homepage,https://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmaps,https://www.dominos.com/en/?redirect=homepage&utm_source=locallistings&utm_medium=loclist&utm_campaign=localmaps",dominos pizza,"['pizza', 'take out', 'delivery']",americus
